#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-2123	sufBCD complex	SufB-SufC-SufD complex|SufBCD tetramer	83333	P77499(2)|P77522(1)|P77689(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8845643	GO:1990229(iron-sulfur cluster assembly complex)|GO:0016887(ATPase activity)|GO:0071950(FADH2 binding)|GO:0016226(iron-sulfur cluster assembly)|GO:0005506(iron ion binding)	wwpdb:5AWG(identity)|pubmed:26472926(see-also)|wwpdb:5AWF(identity)|pubmed:20857974(see-also)|pubmed:12941942(see-also)|complex portal:CPX-2123(complex-primary)	Scaffold complex that assembles an Fe-S cluster. The sufB protomer of the sufBCD complex accepts the atomic sulfur from the sulfur transfer protein SufE (CPX-2125) and incorporates it into an [4Fe-4S] cluster. sufBCD further transfers the Fe-S cluster to the carrier protein sufA (CPX-2142). sufBCD is a component of the sufABCDSE operon, which is activated and required under specific conditions such as oxidative stress and iron limitation. The sufBCD complex is a putative ATP-binding cassette (ABC) complex, inferred by its structural similarity with ABC transporters. sufC has been shown to be an ATPase whose activity is enhanced by the presence of sufB and sufD (PMID:20857974). Under aerobic conditions FADH2 is oxidised to FAD and dissociates from sufBCD.	MW = 160 kD.Upon binding of ATP, sufC forms a head to tail dimer, exposing the Fe-S cluster binding site between the sufB and sufD interface to the surface. The nascent Fe-S cluster is built and transferred and ATP is hydrolyzed, restoring the sufBCD complex to its resting state. 	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P77499(2)|P77522(1)|P77689(1)
CPX-2124	sufS cysteine desulfurase complex	SufS L-cysteine desulfurase complex	83333	CHEBI:597326(2)|P77444(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:1902485(L-cysteine binding)|GO:0031162(sulfur incorporation into metallo-sulfur cluster)|GO:0009000(selenocysteine lyase activity)|GO:0016261(selenocysteine catabolic process)|GO:1990221(L-cysteine desulfurase complex)|GO:0031071(cysteine desulfurase activity)|GO:0019448(L-cysteine catabolic process)	intenz:4.4.1.16(identity)|pubmed:12941942(see-also)|rhea:RHEA:43892(identity)|rhea:RHEA:11632(identity)|wwpdb:6UY5(identity)|pubmed:32133993(see-also)|wwpdb:1jf9(identity)|intenz:2.8.1.7(identity)|complex portal:CPX-2124(complex-primary)|pubmed:31248989(see-also)|wwpdb:6O13(identity)|wwpdb:6O12(identity)|wwpdb:6O11(identity)	An L-cysteine desulfurase which cleaves the C-S bond in cysteine to yield alanine and persulfide, an enzyme-bound S-sulfanylcysteine species. The desulfurase activity is coupled via a ping-pong mechanism to a second transpersulfuration step where the persulfide species is transferred from the active-site cysteine residue to acceptor sufE homodimer (CPX-2125). sufS is activated and required under specific conditions such as oxidative stress and iron limitation. It plays a role in iron-sulfur cluster formation on SufBCD (CPX-2123). sufS is part of the sufABCDSE operon and its cysteine desulfurization activity is enhanced by the SufE dimer and SufBCD complex. In vitro it also acts as a potent selenocysteine lyase, that mobilizes selenium from L-selenocysteine. Selenocysteine lyase activity is however unsure in vivo.	An active-site beta-hairpin appears to function as a beta-latch regulating access for the transpersulfurase to the SufS active site. 	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P77444(2)
CPX-2125	SufE complex	sulfur acceptor protein complex SufE	83333	P76194(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8793970	GO:1990228(sulfurtransferase complex)|GO:0097163(sulfur carrier activity)|GO:0031162(sulfur incorporation into metallo-sulfur cluster)	wwpdb:1mzg(identity)|pubmed:15522304(see-also)|pubmed:12941942(see-also)|pubmed:14644425(see-also)|complex portal:CPX-2125(complex-primary)	Sulfur transfer homodimer that accepts the atomic sulfur resulting from the L-cysteine desulfurase activity of SufS (CPX-2124) and further transfers it to the SufBCD scaffold protein complex (CPX-2123). It is a component of the sufABCDSE operon, which is activated and required under specific conditions such as oxidative stress and iron limitation. It plays a role in the iron-sulfur cluster formation on SufBCD.	The persulfide-forming cysteineCys-51 occurs at the tip of a loop with elevated B-factors, where its side-chain is buried from solvent exposure in a hydrophobic cavity	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P76194(2)
CPX-2126	Glycine/Proline betaine ABC transporter complex	ATP-binding cassette (ABC) transporter complex ProVWX|proU complex|ProVWZ complex	83333	P0AFM2(1)|P14175(2)|P14176(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8794760	GO:0016021(integral component of membrane)|GO:0071470(cellular response to osmotic stress)|GO:1903804(glycine import across plasma membrane)|GO:0031460(glycine betaine transport)|GO:0031459(ATPase-coupled glycine betaine transporter activity)|GO:0016594(glycine binding)|GO:0015187(glycine transmembrane transporter activity)|GO:1990222(ProVWX complex)|GO:0089718(amino acid import across plasma membrane)|GO:0005524(ATP binding)	intenz:3.6.3(identity)|complex portal:CPX-2126(complex-primary)|pubmed:18634750(see-also)|pubmed:23249124(see-also)	High affinity glycine betaine and proline betaine transporter. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily. Responsible for the regulation of cell volume by translocating solutes across the plasma membrane. The proVWX operon is activated under osmotic stress conditions and the complex itself is regulated by osmotic stress, presumably via an increase in the internal salt concentration .	ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	Glycine betaine (CHEBI:17750)|L-proline betaine (CHEBI:35280)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AFM2(1)|P14175(2)|P14176(2)
CPX-2132	IscA complex	IscA tetramer	83333	CHEBI:24875(4)|P0AAC8(4)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8849986	GO:1990230(iron-sulfur cluster transfer complex)|GO:0016226(iron-sulfur cluster assembly)|GO:0051537(2 iron, 2 sulfur cluster binding)	wwpdb:1s98(identity)|pubmed:15050828(see-also)|complex portal:CPX-2132(complex-primary)|pubmed:11319236(see-also)	Transfers [2Fe2S] clusters to apo-protein forms of other iron-sulfur proteins. It may also function as a [2Fe2S] scaffold protein for the formation of [2Fe2S] clusters.	Four monomers surround a central ellipsoidal cavity. at the tetramer interface. Tetramer formation brings the gamma-sulfur atoms of cysteine residues into close proximity to one another in this cavity which may allow them to cooperate in iron binding and/or Fe-S cluster formation. Two iron atoms may bind between dimers.	Homotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AAC8(4)
CPX-2133	Spermidine N(1)-acetyltransferase complex	Diamine N-acetyltransferase complex|acetyl-coenzyme A-1,4-diaminobutane N-acetyltransferase|diamine acetyltransferase|putrescine (diamine)-acetylating enzyme|putrescine N-acetyltransferase|putrescine acetylase|putrescine acetyltransferase|spermidine acetyltransferase|spermidine/spermine N1-acetyltransferase|acetyl-CoA:alkane-α,ω-diamine N-acetyltransferase|SAT complex	83333	P0A951(12)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8850046	GO:0015936(coenzyme A metabolic process)|GO:1990235(diamine N-acetyltransferase complex)|GO:0004145(diamine N-acetyltransferase activity)	intenz:2.3.1.57(identity)|complex portal:CPX-2133(complex-primary)|rhea:RHEA:11116(identity)|wwpdb:6cy6(identity)|pubmed:31205017(see-also)	Regulates polyamine concentration in the cell. Transfers an acetyl group from acetyl-coenzyme A to an N-terminal amino group of intracellular spermidine forming N(1)- and N(8)-acetylspermidine.This transformis spermidine into a less toxic form that can be easily exported from or kept within the cell.	-	Homododecamer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A951(12)
CPX-2134	ThiF-ThiS complex	ThiFS complex|sulfur carrier protein adenylyltransferase	83333	CHEBI:29105(2)|O32583(2)|P30138(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8850090	GO:0070566(adenylyltransferase activity)|GO:0005524(ATP binding)|GO:1902503(adenylyltransferase complex)|GO:0018117(protein adenylylation)|GO:0016783(sulfurtransferase activity)|GO:1990228(sulfurtransferase complex)	wwpdb:1zud(identity)|intenz:2.7.7.73(identity)|complex portal:CPX-2134(complex-primary)|rhea:RHEA:43344(identity)	Catalyses the initial steps of thiamine (vitamin B1) pyrophosphate synthesis. thiF catalyzes the adenylation of the carboxy terminus of thiS and the subsequent displacement of AMP catalyzed by thiI (P77718)-persulfide to give a thiS−thiI acyl disulfide. Disulfide interchange, involving thiF Cys-184, then generates the thiS−thiF acyl disulfide, the sulfur donor for thiazole formation. 	thiF forms a central globular dimer, which is complexed with two thiS molecules. There are no contacts between the two thiS molecules, resulting in a large cleft.	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	O32583(2)|P30138(2)
CPX-2135	thiG-thiH thiazole phosphate synthase complex	thiazole synthase complex|2-iminoacetate synthase complex|ThiGH complex	83333	CHEBI:49883(1)|P30139(1)|P30140(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8851209	GO:0009229(thiamine diphosphate biosynthetic process)|GO:0036355(2-iminoacetate synthase activity)|GO:1902508(2-iminoacetate synthase complex)|GO:0051539(4 iron, 4 sulfur cluster binding)	intenz:4.1.99.19(identity)|intenz:2.8.1.10(identity)|complex portal:CPX-2135(complex-primary)|rhea:RHEA:26297(identity)|rhea:RHEA:26361(identity)	Role in thiamine biosynthesis, catalysing the synthesis of the thiazole phosphate moiety of thiamine. thiG-thiH is found downstream of the activities of iscS, the thiS-thiF complex (CPX-2134) and thiI and requires the activity of 1-deoxy-D-xylulose 5-phosphate (CHEBI:57792). The thiH subunit binds a 4Fe-4S cluster that is coordinated by 3 cysteines (Cys-X-X-X-Cys-X-X-Cys) and an exchangeable S-adenosyl-L-methionine molecule. Sulfur is donated by the thiS-thiF complex.	Heterodimer; MW [ThiG] = 27 kD MW [ThiH] = 44 kD	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P30139(1)|P30140(1)
CPX-2136	L-cysteine desulfurase complex	cysteine desulfurase|cysteine desulfurylase|L-cysteine:acceptor sulfurtransferase	83333	CHEBI:597326(2)|P0A6B7(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8851899	GO:0031071(cysteine desulfurase activity)|GO:0009000(selenocysteine lyase activity)|GO:0016261(selenocysteine catabolic process)|GO:0019448(L-cysteine catabolic process)|GO:1902485(L-cysteine binding)|GO:0097163(sulfur carrier activity)|GO:0072348(sulfur compound transport)|GO:1990221(L-cysteine desulfurase complex)	wwpdb:1p3w(identity)|intenz:2.8.1.7(identity)|pubmed:16387657(see-also)|pubmed:20404999(see-also)|complex portal:CPX-2136(complex-primary)|rhea:RHEA:43892(identity)	Catalyses L-cysteine or selenocysteine to L-alanine and either atomic sulfur, as sulfane or (per)sulfide (under reducing conditions) group, or selenium, respectively. The desulfurase activity of IscS is activated by interaction of partner proteins to form a persulfide adduct of Cys-328. By changing binding partners, IscS selects the sulfur flow through various sulfur trafficking pathways in the cell Provides the sulfur moiety for a variety of pathways such as iron-sulfur cluster formation, e.g. on apo-protein IscU (P0ACD4), for transpersulfidation reactions, e.g. thiol-group formation on Cys-456-ThiF (P30138) during thiamine pyrophospate biosynthesis and for biosynthesis pathways of nicotinic acids, biotin or molybdopterin (via MoeB-MoaD complex, CPX-1968). It is a master enzyme responsible for biosynthesis of all thio-containing RNA modifications (e.g. via ThiL (CPX-2140), TusA-TusBCD-TusE cascade (CPX-2139), IscU (CPX-2141)). It delivers selenium in the pathway for the biosynthesis of selenophosphate.	Consists of 2 domains: a small domain (aa1-15, aa264-404) containing the catalytic sulfur-accepting Cys-328, and a large domain (aa16-263) harbouring the dimerisation site, the pyridoxal phosphate cofactor (bound to Lys-206) and the cysteine substrate-binding pocket. The active site pocket of the two monomers and the pyridoxal phosphate are approximately 30A apart from one another in the complex, suggesting that for processes involving multiple sulfur transfer reactions, e.g. iron-sulfur cluster assembly, sulfur transfer is likely to be sequential rather than a cooperative process involving both subunits. The catalytic cysteine residue, Cys-328, is positioned greater than 17A from the pyridoxal phosphate cofactor, suggesting that a large conformational change must occur during catalysis in order for Cys-328 to participate in nucleophilic attack of a pyridoxal phosphate-bound cysteine substrate.	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A6B7(2)
CPX-2137	csdA L-cysteine desulfurase complex	CsdA complex|CsdA L-selenocysteine lyase complex	83333	CHEBI:597326(0)|Q46925(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8852579	GO:0072348(sulfur compound transport)|GO:1902485(L-cysteine binding)|GO:0016261(selenocysteine catabolic process)|GO:0009000(selenocysteine lyase activity)|GO:1990221(L-cysteine desulfurase complex)|GO:0031071(cysteine desulfurase activity)|GO:0019448(L-cysteine catabolic process)	intenz:2.8.1.7(identity)|pubmed:20054882(see-also)|intenz:4.4.1.16(identity)|wwpdb:4lw2(identity)|complex portal:CPX-2137(complex-primary)|rhea:RHEA:43892(identity)|rhea:RHEA:11632(identity)|pubmed:23913692(see-also)	An L-cysteine desulfurase and L-selenocysteine lyase that catalyses the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L-selenocystine to produce L-alanine, and transiently retains the released sulfur atom on a cysteine residue, in the form of a persulfide. It transfers the sulfur to (a) csdE that increases the cysteine desulfurase activity of csdA (csdA-csdE complex CPX-2138) or to (b) tcdA/csdL where it appears to support the function of TcdA in the generation of cyclic threonylcarbamoyladenosine at position 37 (ct6A37) in tRNAs that read codons beginning with adenine (in vitro). csdA also desulfinates L-cysteine sulfinate, which is the best substrate of the enzyme. csdA functions as a selenium delivery protein in the pathway for the biosynthesis of selenophosphate and participates in Fe/S biogenesis (by recruiting the sufBCD-sufE proteins).	The csdA fold can be divided into a large region and a small region in which the large region mediates the dimeric interface. The enzymatically essential pyridoxal 5'-phosphate lies between the large and small regions	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q46925(2)
CPX-2138	cdsA-cdsE complex	CdsA-CdsE L-cysteine desulfurase complex|CdsA-CdsE sulfur transferase complex	83333	CHEBI:597326(0)|P0AGF2(2)|Q46925(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8852595	GO:0016783(sulfurtransferase activity)|GO:0072348(sulfur compound transport)|GO:1901681(sulfur compound binding)|GO:1990221(L-cysteine desulfurase complex)|GO:1990228(sulfurtransferase complex)|GO:0031071(cysteine desulfurase activity)|GO:1902485(L-cysteine binding)|GO:0019448(L-cysteine catabolic process)	intenz:2.8.1.7(identity)|wwpdb:4lw4(identity)|pubmed:20054882(see-also)|pubmed:15901727(see-also)|complex portal:CPX-2138(complex-primary)|rhea:RHEA:43892(identity)|wwpdb:5FT8(identity)	Acts as a L-cysteine desulfurase and sufurtransferase. csdA desulfurases L-cysteine to produce L-alanine atomic sulfur (in the form of a persulfide). It transfers the sulfur to csdE which increases the cysteine desulfurase activity of csdA. csdE accepts the sulfur on Cys-61. While the csdE dimer can be isolated in vitro it is uncertain whether it also exists on its own in vivo.	-	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AGF2(2)|Q46925(2)
CPX-2139	iscS-tusA cysteine desulfurase complex	-	83333	CHEBI:597326(2)|P0A6B7(2)|P0A890(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8871460	GO:1990329(IscS-TusA complex)|GO:1902485(L-cysteine binding)|GO:0031071(cysteine desulfurase activity)|GO:0019448(L-cysteine catabolic process)|GO:0002143(tRNA wobble position uridine thiolation)	pubmed:16387657(see-also)|pubmed:20404999(see-also)|intenz:2.8.1.7(identity)|complex portal:CPX-2139(complex-primary)|rhea:RHEA:43892(identity)	Cysteine desulfurase involved in the sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm5s2U) at tRNA wobble positions. tusA stimulates iscS activity while iscS transfers sulfur to tusA in a transpersulfidation reaction. In turn, tusA transfers the sulfur to tusD in the TusA-tusBCD-tusE-mnmA pathway.	An iscS loop containing Cys-328 assumes a closed conformation and is loaded with the sulfur acquired from the cysteine substrate via the pyridoxal 5'-phosphate cofactor. A Cys-328-containing loop pivots around hinges located near Ser-324 and Ser-336, adopting the open conformation such that Cys328 can closely approach the cysteine of tusA.	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A6B7(2)|P0A890(2)
CPX-2141	iscS-iscU iron-sulfur cluster assembly complex	-	83333	CHEBI:597326(2)|P0A6B7(2)|P0ACD4(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15850249	GO:1990330(IscS-IscU complex)|GO:0016226(iron-sulfur cluster assembly)|GO:0031071(cysteine desulfurase activity)|GO:0019448(L-cysteine catabolic process)|GO:0051536(iron-sulfur cluster binding)|GO:1902485(L-cysteine binding)	pubmed:22203963(see-also)|pubmed:20404999(see-also)|pubmed:16387657(see-also)|wwpdb:3lvl(identity)|intenz:2.8.1.7(identity)|complex portal:CPX-2141(complex-primary)|rhea:RHEA:43892(identity)	Involved in the sulfur transfer during iron-sulfur cluster assembly. iscU forms a scaffold for sequential cluster assembly of first one [2Fe-2S]2+ cluster is observed that first first to a form containing two [2Fe-2S]2+ clusters and finally to a form that contains one [4Fe-4S]2+ cluster. iscA transfers sulfur to iscU while the latter is in the D-state, a partly disordered state that contains an ordered domain that stabilizes two cis peptidyl-prolyl peptide bonds. After Fe-S cluster formation on IscU, IscU converts to the S-state, which has a lower affinity for IscS and minimizes product inhibition.	Each iscU molecule interacts with only one subunit of the iscS dimer and, based on its orientation in the complex, would be expected to accept sulfur from the same subunit to which it is bound. An iscS loop containing Cys-328 assumes a closed conformation and is loaded with the sulfur acquired from the cysteine substrate via the pyridoxal 5'-phosphate cofactor. A Cys-328-containing loop pivots around hinges located near Ser-324 and Ser-336, adopting the open conformation such that Cys-328 can closely approach the cysteine of iscU. iscA transfers sulfur to iscU while the latter is in the D-state, a partly disordered state that contains an ordered domain that stabilizes two cis peptidyl-prolyl peptide bonds. After Fe-S cluster formation on iscU, iscU converts to the S-state, which has a lower affinity for iscS and minimizes product inhibition.	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A6B7(2)|P0ACD4(2)
CPX-2142	sufA complex	sulfur transfer complex SufA	83333	P77667(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8795750	GO:1990230(iron-sulfur cluster transfer complex)|GO:0051537(2 iron, 2 sulfur cluster binding)|GO:0097428(protein maturation by iron-sulfur cluster transfer)	wwpdb:2d2a(identity)|pubmed:19366265(see-also)|complex portal:CPX-2142(complex-primary)|pubmed:16298366(see-also)	An Fe-S cluster carrier homodimer that accepts the Fe-S cluster from the SufBCD scaffold protein complex (CPX-2123 [complex], EBI-8805910 [transfer interaction]) and transfers it to the target apo-protein. The Fe-S cluster has a [2Fe-2S] conformation when associated with SufA which can transfer its Fe-S cluster to both [2Fe-2S] and [4Fe-4S] apoproteins. It is a component of the sufABCDSE operon, which is activated and required under specific conditions such as oxidative stress and iron limitation.	A bridging Fe atom or a Fe–S cluster is accommodated in the interface between the two subunits of the homodimer.	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P77667(2)
CPX-2144	TusBCDE complex	TusBCD-TusE complex	83333	P0AB18(1)|P45530(2)|P45531(2)|P45532(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8871626	GO:0002143(tRNA wobble position uridine thiolation)|GO:1990228(sulfurtransferase complex)|GO:1901681(sulfur compound binding)|GO:0016783(sulfurtransferase activity)	wwpdb:2d1p(subset)|intenz:2.8.1.7(identity)|complex portal:CPX-2144(complex-primary)|pubmed:16387657(see-also)	Involved in the sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm5s2U) at tRNA wobble positions. It transfers sulfur (most likely in persulfide form) from TusA (P0A890) to the TusE-MnmA complex (CPX-2145) via Cys78-TusD and Cys108-TusE. Although TusBCD complex has been crystallised it has not yet been shown experimentally that it exists in vivo without subunit TusE attached.	Heteroseptamer.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AB18(1)|P45530(2)|P45531(2)|P45532(2)
CPX-2145	tRNA-specific 2-thiouridylase tusE-mnmA complex	-	83333	CHEBI:17843(1)|P0AB18(1)|P25745(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8871587	GO:1990228(sulfurtransferase complex)|GO:0016783(sulfurtransferase activity)|GO:0002143(tRNA wobble position uridine thiolation)|GO:1901681(sulfur compound binding)	intenz:2.8.1.13(identity)|complex portal:CPX-2145(complex-primary)|rhea:RHEA:47032(identity)|pubmed:16387657(see-also)	mnmA catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA(Lys), tRNA(Glu) and tRNA(Gln), leading to the formation of s2U34, the first step of tRNA-mnm5s2U34 synthesis. Sulfur is provided by iscS, via a sulfur-relay system. The tusE subunit transfers sulfur (most likely bound to Cys-108 as persulfide) from the TusBCDE complex (CPX-2144) to the tRNA. 	-	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AB18(1)|P25745(1)
CPX-2149	Thioredoxin reductase complex	Thioredoxin reductase homodimer|TrxB complex|TrxR complex|TrxR dimer|thioredoxin-disulfide reductase|NADP-thioredoxin reductase|NADPH-thioredoxin reductase|NADPH2:oxidized thioredoxin oxidoreductase|thioredoxin:NADP+ oxidoreductase|thioredoxin reductase (NADPH)	83333	CHEBI:16238(2)|P0A9P4(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:1902515(thioredoxin-disulfide reductase complex)|GO:0004791(thioredoxin-disulfide reductase activity)	wwpdb:1TDF(identity)|wwpdb:1tdf(identity)|intenz:1.8.1.9(identity)|complex portal:CPX-2149(complex-primary)|wwpdb:1cl0(identity)|rhea:RHEA:20345(identity)	Catalyses the reversible reduction and reoxidation of NADP+ and thioredoxin to NADPH and thioredoxin disulfide. In this process, the dithiol-disulfide residues in the active site of TrxR and the flavin adenine dinucleotide (FAD) cofactor are also reduced and reoxidised. Reduced thioredoxin is a reductant for ribonucleotide reductase and an activator of T7 DNA polymerase.	 During the redox process, the NADP and FAD domains of TrxR undergo a drastic rotation of 67 degrees allowing contact between the enzyme substrates and the cofactor.	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A9P4(2)
CPX-2150	sn-glycerol-3-phosphate ABC transporter complex	UgpA-UgpE-UgpC-UgpB complex|glycerol-3-phosphate-transporting ATPase complex|UgpABCE complex|UgpAEC-UgpB complex	83333	P0AG80(1)|P10905(1)|P10906(1)|P10907(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8875467	GO:0015794(glycerol-3-phosphate transmembrane transport)|GO:0005524(ATP binding)|GO:0042626(ATPase-coupled transmembrane transporter activity)|GO:0015430(ATPase-coupled glycerol-3-phosphate transmembrane transporter activity)|GO:1902516(sn-glycerol 3-phosphate binding)|GO:1902517(glycerol-3-phosphate-transporting ATPase complex)|GO:0016021(integral component of membrane)	intenz:7.6.2.10(identity)|complex portal:CPX-2150(complex-primary)|pubmed:23013274(see-also)	High affinity glycerol-3-phosphate (G3P) and glycerol-3-phosphocholine (GPC) transporter. Member of the ATP-binding cassette (ABC) superfamily of transporters, prokaryote-type (PK-type) subfamily. sn-glycerol-3-phosphate, a degradation product of phospholipids, is utilized as a source of carbon and phosphate under starvation conditions.	ATP-binding cassette (ABC) transporters are integral membrane proteins that actively transport molecules across the lipid membrane against a concentration gradient, using the energy derived from the hydrolysis of ATP. ABC transporters are composed of two transmembrane domains (TMDs) which are the integral membrane proteins and two nucleotide binding domain (NBDs) proteins associated with the TMDs on one side of the membrane. The TMDs form the transport channel and consist of several membrane-spanning alpha-helices. The NBDs bind and hydrolyse ATP. ATP binding induces conformational changes in the NBDs, forcing them into closer contact and forming the characteristic nucleotide sandwich dimer. This then causes a conformational change in the TMDs which results in the opening of the transport channel. The PK-type ABC transporters are importers that require additional periplasmic binding proteins to recruit substrates from the extracellular space and deliver them to the core transporter. Typically each component in PK-type ABC transporters is a separate protein, arising from an individual gene in an operon coding for the complete transporter.	Heteropentamer	sn-glycerol-3-phosphate (CHEBI:15978)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0AG80(1)|P10905(1)|P10906(1)|P10907(2)
CPX-2151	UvrAB DNA damage sensor complex	UvrAB DNA damage recognition complex|UvrAB nucleotide-excision repair, preincision complex|UvrA-UvrB complex|UvrA-UvrB heterotetramer	83333	P0A698(2)|P0A8F8(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15528674	GO:0000715(nucleotide-excision repair, DNA damage recognition)|GO:0005524(ATP binding)|GO:0016887(ATPase activity)|GO:0009380(excinuclease repair complex)|GO:0003684(damaged DNA binding)|GO:0006289(nucleotide-excision repair)	pubmed:2546148(see-also)|pubmed:33477956(see-also)|complex portal:CPX-2151(complex-primary)	Part of the UvrABC repair system that catalyzes the recognition and processing of DNA lesions. It scans the DNA for abnormalities. Upon binding of the UvrAB complex to a putative damaged site, the DNA wraps around one of the uvrB subunits. uvrB then probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex (CPX-2152) is formed. This complex is subsequently bound by uvrC (P0A8G0) and one of the uvrB monomers is released (CPX-2153). If no lesion is found, the DNA wraps around the other uvrB subunit that will check the other stand for damage. ATP hydrolysis may initiate dissociation of uvrB from the DNA, possibly because no lesion is found. The recruitment process of the uvrAB complex to the DNA remains unknown. A uvrA dimer exists in vitro but it is uncertain if it also exists in vivo as uvrA is sequestered to the DNA by Mfd (CPX-2155).	The uvrA surface that binds DNA may interconvert between a relatively open shaped dimer compatible with the widely varying conformations of damaged DNA to a closed groove that appears solely compatible with native DNA. The C-terminal end of uvrB is crucial for dimer stability but not for DNA binding. DNA wrapping around the uvrB subunit is dependent on ATP binding by uvrB and probably causes local melting of the DNA helix, facilitating insertion of a uvrB beta-hairpin between the DNA strands.	Heterotetramer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P0A698(2)|P0A8F8(2)
